LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
212,2545,101020,17,28,8,16.8,16.4,5.7,20.0,"£44,562"
212,2558,101021,33,32,9,30.7,27.9,8.2,12.9,"£42,155"
212,2584,101022,33,35,5,30.4,25.3,4.7,15.6,"£40,706"
212,2633,101024,23,20,8,20.4,14.9,6.4,15.3,"£42,582"
212,2648,101025,22,15,7,17.0,10.5,5.6,17.1,"£38,722"
212,2774,101026,20,14,10,18.1,10.0,7.2,19.4,"£42,651"
212,2780,101027,29,20,17,27.1,15.4,15.9,15.1,"£38,753"
212,2781,101028,33,34,20,29.6,26.1,15.8,17.4,"£41,153"
212,2786,101029,27,14,12,27.0,11.0,7.8,11.3,"£38,190"
212,2807,101031,13,13,8,12.8,10.3,7.3,17.8,"£44,239"
212,2877,101033,13,16,8,12.2,12.4,7.7,17.8,"£41,842"
212,3304,101034,11,16,4,10.5,12.5,3.1,21.9,"£41,720"
212,3320,101035,14,15,5,12.3,12.1,3.9,16.0,"£38,861"
212,3376,101036,11,6,5,9.3,4.2,3.8,22.7,"£41,524"
212,3387,101037,14,9,3,11.4,5.1,2.4,18.2,"£46,561"
212,3390,101038,14,17,7,12.8,10.8,5.9,17.1,"£46,100"
212,3408,101041,13,11,6,12.8,7.6,5.2,15.1,"£44,461"
212,3422,101042,23,24,7,18.2,16.3,5.9,19.4,"£40,038"
212,3434,101043,13,15,4,11.0,9.2,2.7,18.6,"£41,487"
212,3444,101044,16,14,5,13.5,13.8,4.3,16.4,"£40,125"
212,3486,101045,11,18,5,9.9,10.4,3.3,22.4,"£48,670"
212,3524,101046,15,15,4,12.8,9.9,2.4,18.3,"£44,014"
212,3525,101047,18,11,4,17.0,8.5,3.2,10.2,"£35,767"
212,3528,101048,15,10,6,13.4,8.0,4.1,15.1,"£40,274"
